"","byhour","Freq"
"1195","1495303200",502
"1196","1495306800",463
"1197","1495310400",318
"1198","1495314000",262
"1199","1495317600",190
"1200","1495321200",153
"1201","1495324800",112
"1202","1495328400",74
"1203","1495332000",39
"1204","1495335600",46
"1205","1495339200",13
"1206","1495342800",53
"1207","1495346400",107
"1208","1495350000",119
"1209","1495353600",301
"1210","1495357200",482
"1211","1495360800",752
"1212","1495364400",999
"1213","1495368000",1100
"1214","1495371600",1126
"1215","1495375200",995
"1216","1495378800",973
"1217","1495382400",798
"1218","1495386000",807
"1219","1495389600",479
"1220","1495393200",356
"1221","1495396800",248
"1222","1495400400",155
"1223","1495404000",109
"1224","1495407600",68
"1225","1495411200",20
"1226","1495414800",9
"1227","1495418400",14
"1228","1495422000",7
"1229","1495425600",20
"1230","1495429200",121
"1231","1495432800",422
"1232","1495436400",987
"1233","1495440000",1368
"1234","1495443600",647
"1235","1495447200",515
"1236","1495450800",657
"1237","1495454400",734
"1238","1495458000",730
"1239","1495461600",768
"1240","1495465200",942
"1241","1495468800",1506
"1242","1495472400",2008
"1243","1495476000",1247
"1244","1495479600",747
"1245","1495483200",454
"1246","1495486800",253
"1247","1495490400",204
"1248","1495494000",81
"1249","1495497600",40
"1250","1495501200",22
"1251","1495504800",6
"1252","1495508400",17
"1253","1495512000",16
"1254","1495515600",130
"1255","1495519200",484
"1256","1495522800",993
"1257","1495526400",1029
"1258","1495530000",228
"1259","1495533600",168
"1260","1495537200",259
"1261","1495540800",326
"1262","1495544400",347
"1263","1495548000",383
"1264","1495551600",319
"1265","1495555200",582
"1266","1495558800",417
"1267","1495562400",536
"1268","1495566000",280
"1269","1495569600",207
"1270","1495573200",168
"1271","1495576800",130
"1272","1495580400",65
"1273","1495584000",19
"1274","1495587600",17
"1275","1495591200",3
"1276","1495594800",3
"1277","1495598400",9
"1278","1495602000",53
"1279","1495605600",308
"1280","1495609200",705
"1281","1495612800",1002
"1282","1495616400",423
"1283","1495620000",298
"1284","1495623600",362
"1285","1495627200",406
"1286","1495630800",399
"1287","1495634400",369
"1288","1495638000",521
"1289","1495641600",984
"1290","1495645200",1366
"1291","1495648800",890
"1292","1495652400",483
"1293","1495656000",295
"1294","1495659600",221
"1295","1495663200",163
"1296","1495666800",68
