"","duration_sub","Freq"
"1187","1246",269
"1188","1247",273
"1189","1248",290
"1190","1249",265
"1191","1250",297
"1192","1251",246
"1193","1252",244
"1194","1253",275
"1195","1254",260
"1196","1255",287
"1197","1256",264
"1198","1257",251
"1199","1258",262
"1200","1259",239
"1201","1260",247
"1202","1261",237
"1203","1262",256
"1204","1263",260
"1205","1264",241
"1206","1265",253
"1207","1266",256
"1208","1267",274
"1209","1268",274
"1210","1269",252
"1211","1270",275
"1212","1271",242
"1213","1272",266
"1214","1273",280
"1215","1274",264
"1216","1275",238
"1217","1276",237
"1218","1277",236
"1219","1278",247
"1220","1279",240
"1221","1280",226
"1222","1281",277
"1223","1282",269
"1224","1283",277
"1225","1284",256
"1226","1285",265
"1227","1286",231
"1228","1287",239
"1229","1288",235
"1230","1289",265
"1231","1290",268
"1232","1291",229
"1233","1292",271
"1234","1293",250
"1235","1294",236
"1236","1295",254
"1237","1296",246
"1238","1297",246
"1239","1298",226
"1240","1299",248
"1241","1300",233
"1242","1301",249
"1243","1302",243
"1244","1303",242
"1245","1304",215
"1246","1305",249
"1247","1306",252
"1248","1307",251
"1249","1308",239
"1250","1309",240
"1251","1310",261
"1252","1311",236
"1253","1312",250
"1254","1313",242
"1255","1314",198
"1256","1315",238
"1257","1316",239
"1258","1317",236
"1259","1318",218
"1260","1319",237
"1261","1320",250
"1262","1321",231
"1263","1322",233
"1264","1323",273
"1265","1324",241
"1266","1325",258
"1267","1326",250
"1268","1327",239
"1269","1328",231
"1270","1329",235
"1271","1330",222
"1272","1331",228
"1273","1332",211
"1274","1333",225
"1275","1334",231
"1276","1335",203
"1277","1336",214
"1278","1337",209
"1279","1338",211
"1280","1339",228
"1281","1340",211
"1282","1341",231
"1283","1342",197
"1284","1343",217
"1285","1344",244
"1286","1345",231
"1287","1346",229
"1288","1347",237
"1289","1348",225
"1290","1349",238
"1291","1350",205
"1292","1351",255
"1293","1352",202
"1294","1353",257
"1295","1354",210
"1296","1355",236
"1297","1356",222
"1298","1357",229
"1299","1358",249
"1300","1359",214
"1301","1360",212
"1302","1361",246
"1303","1362",219
"1304","1363",205
"1305","1364",247
"1306","1365",224
"1307","1366",228
"1308","1367",235
"1309","1368",204
"1310","1369",225
"1311","1370",215
"1312","1371",208
"1313","1372",232
"1314","1373",225
"1315","1374",212
"1316","1375",225
"1317","1376",215
"1318","1377",217
"1319","1378",209
"1320","1379",215
"1321","1380",237
"1322","1381",246
"1323","1382",203
"1324","1383",200
"1325","1384",223
"1326","1385",201
"1327","1386",226
"1328","1387",228
"1329","1388",183
"1330","1389",214
"1331","1390",205
"1332","1391",203
"1333","1392",192
"1334","1393",212
"1335","1394",209
"1336","1395",191
"1337","1396",214
"1338","1397",222
"1339","1398",174
"1340","1399",206
"1341","1400",210
"1342","1401",218
"1343","1402",201
"1344","1403",207
"1345","1404",229
"1346","1405",208
"1347","1406",200
"1348","1407",208
"1349","1408",183
"1350","1409",197
"1351","1410",194
"1352","1411",196
"1353","1412",214
"1354","1413",180
"1355","1414",213
"1356","1415",176
"1357","1416",197
"1358","1417",205
"1359","1418",203
"1360","1419",194
"1361","1420",185
"1362","1421",186
"1363","1422",188
"1364","1423",194
"1365","1424",195
"1366","1425",216
"1367","1426",174
"1368","1427",213
"1369","1428",178
"1370","1429",177
"1371","1430",217
"1372","1431",185
"1373","1432",169
"1374","1433",203
"1375","1434",173
"1376","1435",190
"1377","1436",174
"1378","1437",178
"1379","1438",190
"1380","1439",184
"1381","1440",184
"1382","1441",177
"1383","1442",176
"1384","1443",188
"1385","1444",199
"1386","1445",174
"1387","1446",204
"1388","1447",164
"1389","1448",184
"1390","1449",172
"1391","1450",173
"1392","1451",187
"1393","1452",152
"1394","1453",173
"1395","1454",167
"1396","1455",207
"1397","1456",196
"1398","1457",166
"1399","1458",181
"1400","1459",176
"1401","1460",161
"1402","1461",156
"1403","1462",168
"1404","1463",196
"1405","1464",176
"1406","1465",198
"1407","1466",162
"1408","1467",181
"1409","1468",205
"1410","1469",155
"1411","1470",177
"1412","1471",185
"1413","1472",180
"1414","1473",151
"1415","1474",154
"1416","1475",167
"1417","1476",145
"1418","1477",190
"1419","1478",180
"1420","1479",164
"1421","1480",168
"1422","1481",171
"1423","1482",171
"1424","1483",170
"1425","1484",186
"1426","1485",186
"1427","1486",159
"1428","1487",161
"1429","1488",167
"1430","1489",157
"1431","1490",184
"1432","1491",152
"1433","1492",170
"1434","1493",158
"1435","1494",180
"1436","1495",157
"1437","1496",167
"1438","1497",148
"1439","1498",167
"1440","1499",155
"1441","1500",154
"1442","1501",158
"1443","1502",142
"1444","1503",151
"1445","1504",163
"1446","1505",189
"1447","1506",161
"1448","1507",166
"1449","1508",154
"1450","1509",146
"1451","1510",163
"1452","1511",161
"1453","1512",150
"1454","1513",168
"1455","1514",180
"1456","1515",164
"1457","1516",154
"1458","1517",162
"1459","1518",150
"1460","1519",140
"1461","1520",152
"1462","1521",148
"1463","1522",143
"1464","1523",138
"1465","1524",166
"1466","1525",152
"1467","1526",139
"1468","1527",161
"1469","1528",127
"1470","1529",134
"1471","1530",156
"1472","1531",151
"1473","1532",169
"1474","1533",161
"1475","1534",153
"1476","1535",144
"1477","1536",173
"1478","1537",151
"1479","1538",163
"1480","1539",164
"1481","1540",118
"1482","1541",131
"1483","1542",160
"1484","1543",136
"1485","1544",146
"1486","1545",131
"1487","1546",151
"1488","1547",150
"1489","1548",137
"1490","1549",141
"1491","1550",176
"1492","1551",136
"1493","1552",139
"1494","1553",125
"1495","1554",157
"1496","1555",121
"1497","1556",114
"1498","1557",123
"1499","1558",104
"1500","1559",131
"1501","1560",136
"1502","1561",105
"1503","1562",145
"1504","1563",130
"1505","1564",124
"1506","1565",163
"1507","1566",146
"1508","1567",129
"1509","1568",145
"1510","1569",117
"1511","1570",155
"1512","1571",132
"1513","1572",115
"1514","1573",144
"1515","1574",156
"1516","1575",123
"1517","1576",143
"1518","1577",162
"1519","1578",117
"1520","1579",117
"1521","1580",136
"1522","1581",137
"1523","1582",140
"1524","1583",130
"1525","1584",122
"1526","1585",118
"1527","1586",100
"1528","1587",138
"1529","1588",138
"1530","1589",126
"1531","1590",121
"1532","1591",127
"1533","1592",128
"1534","1593",138
"1535","1594",131
"1536","1595",112
"1537","1596",138
"1538","1597",120
"1539","1598",113
"1540","1599",115
"1541","1600",122
"1542","1601",115
"1543","1602",103
"1544","1603",120
"1545","1604",110
"1546","1605",124
"1547","1606",111
"1548","1607",105
"1549","1608",122
"1550","1609",140
"1551","1610",114
"1552","1611",127
"1553","1612",119
"1554","1613",107
"1555","1614",129
"1556","1615",122
"1557","1616",138
"1558","1617",77
"1559","1618",118
"1560","1619",124
"1561","1620",91
"1562","1621",119
"1563","1622",108
"1564","1623",127
"1565","1624",128
"1566","1625",94
"1567","1626",111
"1568","1627",115
"1569","1628",119
"1570","1629",106
"1571","1630",114
"1572","1631",102
"1573","1632",106
"1574","1633",100
"1575","1634",100
"1576","1635",123
"1577","1636",93
"1578","1637",104
"1579","1638",111
"1580","1639",95
"1581","1640",84
"1582","1641",120
"1583","1642",108
"1584","1643",106
"1585","1644",117
"1586","1645",106
"1587","1646",118
"1588","1647",103
"1589","1648",106
"1590","1649",96
"1591","1650",105
"1592","1651",96
"1593","1652",104
"1594","1653",100
"1595","1654",106
"1596","1655",94
"1597","1656",91
"1598","1657",116
"1599","1658",109
"1600","1659",124
"1601","1660",94
"1602","1661",104
"1603","1662",97
"1604","1663",95
"1605","1664",87
"1606","1665",84
"1607","1666",90
"1608","1667",89
"1609","1668",91
"1610","1669",106
"1611","1670",92
"1612","1671",85
"1613","1672",84
"1614","1673",97
"1615","1674",97
"1616","1675",94
"1617","1676",82
"1618","1677",115
"1619","1678",72
"1620","1679",102
"1621","1680",85
"1622","1681",106
"1623","1682",106
"1624","1683",94
"1625","1684",87
"1626","1685",88
"1627","1686",83
"1628","1687",89
"1629","1688",93
"1630","1689",87
"1631","1690",77
"1632","1691",80
"1633","1692",81
"1634","1693",90
"1635","1694",107
"1636","1695",91
"1637","1696",87
"1638","1697",77
"1639","1698",69
"1640","1699",81
"1641","1700",100
"1642","1701",91
"1643","1702",110
"1644","1703",88
"1645","1704",84
"1646","1705",87
"1647","1706",95
"1648","1707",70
"1649","1708",81
"1650","1709",105
"1651","1710",82
"1652","1711",86
"1653","1712",86
"1654","1713",84
"1655","1714",68
"1656","1715",81
"1657","1716",72
"1658","1717",68
"1659","1718",81
"1660","1719",98
"1661","1720",84
"1662","1721",93
"1663","1722",82
"1664","1723",91
"1665","1724",72
"1666","1725",87
"1667","1726",74
"1668","1727",78
"1669","1728",79
"1670","1729",78
"1671","1730",82
"1672","1731",69
"1673","1732",83
"1674","1733",82
"1675","1734",67
"1676","1735",56
"1677","1736",74
"1678","1737",82
"1679","1738",78
"1680","1739",72
"1681","1740",84
"1682","1741",64
"1683","1742",83
"1684","1743",90
"1685","1744",73
"1686","1745",72
"1687","1746",66
"1688","1747",70
"1689","1748",81
"1690","1749",87
"1691","1750",74
"1692","1751",64
"1693","1752",78
"1694","1753",71
"1695","1754",70
"1696","1755",62
"1697","1756",81
"1698","1757",90
"1699","1758",83
"1700","1759",71
"1701","1760",70
"1702","1761",67
"1703","1762",65
"1704","1763",61
"1705","1764",62
"1706","1765",68
"1707","1766",64
"1708","1767",57
"1709","1768",75
"1710","1769",64
"1711","1770",56
"1712","1771",62
"1713","1772",76
"1714","1773",65
"1715","1774",74
"1716","1775",67
"1717","1776",70
"1718","1777",65
"1719","1778",72
"1720","1779",60
"1721","1780",61
"1722","1781",76
"1723","1782",54
"1724","1783",60
"1725","1784",62
"1726","1785",68
"1727","1786",52
"1728","1787",58
"1729","1788",61
"1730","1789",68
"1731","1790",69
"1732","1791",70
"1733","1792",70
"1734","1793",60
"1735","1794",52
"1736","1795",61
"1737","1796",63
"1738","1797",57
"1739","1798",59
"1740","1799",58
"1741","1800",69
"1742","1801",54
"1743","1802",59
"1744","1803",65
"1745","1804",65
"1746","1805",50
"1747","1806",57
"1748","1807",52
"1749","1808",55
"1750","1809",44
"1751","1810",47
"1752","1811",53
"1753","1812",53
"1754","1813",53
"1755","1814",49
"1756","1815",57
